,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0,13
1,0,0,5,0,0,0,0,0,7,0,0,0,0,32,0,0
2,24,0,0,27,0,0,0,0,0,0,0,0,0,0,0,18
3,0,0,29,0,14,0,0,0,0,0,0,0,0,15,0,0
4,0,28,0,0,0,0,0,6,0,0,0,0,0,0,12,0
5,26,0,0,0,0,0,33,0,0,0,0,0,21,0,0,0
6,0,0,10,3,0,0,0,0,0,0,0,0,8,0,0,0
7,0,17,0,0,0,0,4,0,0,0,0,0,0,0,22,0
8,0,0,23,0,0,0,0,0,0,30,0,0,0,0,0,11
9,0,25,0,0,0,9,0,0,0,0,0,1,0,0,0,0
10,0,0,16,0,0,19,0,0,0,0,0,0,0,0,31,0
11,8,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0
12,0,32,0,0,0,0,22,0,0,0,0,0,0,0,0,21
13,0,16,0,0,0,0,0,0,11,0,0,0,0,0,7,0
14,20,0,0,0,0,0,0,0,5,0,0,0,0,0,19,0
15,0,0,17,0,0,30,0,0,0,0,0,33,0,0,0,0
16,0,0,27,0,0,0,0,0,0,29,0,15,0,0,0,0
17,0,0,3,0,0,0,13,0,0,0,0,28,0,0,0,0
18,0,2,0,0,0,0,0,0,0,0,25,0,0,0,31,0
19,0,23,0,0,0,0,9,0,0,0,0,0,0,0,14,0
20,0,24,0,0,12,0,0,0,0,0,0,0,1,0,0,0
21,10,0,0,0,0,0,0,0,0,26,0,0,0,18,0,0
22,1,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0
23,0,20,0,27,0,0,0,0,0,0,0,0,0,29,0,0
24,0,0,19,0,0,0,0,0,0,0,21,0,4,0,0,0
25,6,0,0,0,0,0,0,18,0,0,0,0,0,0,16,0
26,0,8,0,0,0,9,0,0,0,0,0,0,5,0,0,0
27,14,0,0,0,7,0,0,0,0,0,0,0,0,0,24,0
28,0,0,25,0,0,33,0,0,0,0,0,0,0,0,0,17
29,0,15,0,0,0,23,0,0,0,0,0,0,0,0,32,0
30,22,0,0,0,0,0,0,2,0,0,0,0,0,26,0,0
31,0,0,13,0,0,0,0,0,0,12,0,0,0,0,3,0
32,28,0,0,0,0,0,0,0,0,30,0,0,0,31,0,0
33,0,0,10,0,0,13,0,0,0,0,0,0,4,0,0,0
34,0,16,0,0,0,0,0,0,0,33,0,0,0,0,18,0
35,0,0,20,0,0,0,0,0,6,0,0,0,0,15,0,0
36,0,25,0,0,0,0,0,0,7,0,0,28,0,0,0,0
37,0,0,12,0,9,0,0,0,0,0,0,0,22,0,0,0
38,0,29,0,0,23,0,0,0,0,0,0,0,0,0,0,1
39,8,0,0,0,0,0,0,0,0,17,0,0,0,0,0,30
40,0,5,0,0,0,0,0,0,0,21,0,0,0,0,27,0
41,0,31,0,0,0,0,0,2,0,0,0,0,3,0,0,0
42,11,0,0,0,0,0,0,0,0,14,0,0,0,32,0,0
43,19,0,0,0,0,0,24,0,0,0,0,0,0,0,0,26
44,0,0,18,16,0,0,0,0,0,0,0,0,0,0,0,1
45,0,26,0,0,0,0,0,0,0,32,0,0,0,14,0,0
46,0,25,0,0,0,0,0,0,0,0,5,0,27,0,0,0
47,2,0,0,0,0,0,0,0,9,0,0,0,0,28,0,0
48,24,0,0,0,0,0,0,0,0,0,22,0,0,0,0,31
49,20,0,0,0,0,0,23,0,0,0,0,0,10,0,0,0
50,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,12
51,0,15,0,0,0,0,0,0,17,0,0,0,0,30,0,0
52,0,0,4,0,0,0,33,0,0,0,0,3,0,0,0,0
53,19,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0
54,29,0,0,0,0,0,21,0,0,0,0,0,0,0,7,0
55,0,0,17,0,0,0,0,33,0,0,0,0,25,0,0,0
56,0,19,0,0,0,0,0,0,0,0,11,15,0,0,0,0
57,3,0,0,32,0,0,0,0,0,0,0,0,0,0,12,0
58,18,0,0,0,0,10,0,0,0,0,0,0,9,0,0,0
59,0,6,0,0,2,0,0,0,0,0,0,0,0,20,0,0
60,0,0,29,0,31,0,0,0,0,0,0,0,0,5,0,0
61,14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,21
62,30,0,0,0,0,22,0,0,0,0,0,0,0,0,0,28
63,1,0,0,0,0,0,0,0,4,0,0,0,0,16,0,0
64,0,0,27,0,13,0,0,0,0,0,0,0,0,26,0,0
65,0,24,0,8,0,0,0,0,0,0,0,0,0,0,23,0
66,0,0,4,0,0,0,0,0,17,0,0,0,0,20,0,0
67,0,9,0,0,0,0,0,0,0,33,0,0,15,0,0,0
68,26,0,0,0,0,0,24,0,0,0,0,0,0,32,0,0
69,0,27,0,0,0,0,0,0,0,0,2,28,0,0,0,0
70,0,3,0,0,0,0,0,0,0,0,8,0,0,6,0,0
71,31,0,0,0,0,0,23,0,0,0,0,0,11,0,0,0
72,0,0,21,0,18,0,0,0,0,0,0,0,13,0,0,0
73,0,0,7,0,0,0,0,5,0,0,0,0,12,0,0,0
74,0,16,0,0,0,0,0,0,0,0,14,0,0,0,0,19
75,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22
76,0,30,0,0,0,0,0,0,10,0,0,25,0,0,0,0
77,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,24
78,0,31,0,0,19,0,0,0,0,0,0,0,0,0,0,12
79,23,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0
80,0,0,2,0,0,0,0,0,0,0,11,15,0,0,0,0
81,0,0,18,0,0,0,0,0,0,0,27,28,0,0,0,0
82,0,25,0,0,0,0,1,0,0,0,0,0,0,0,22,0
83,0,0,32,0,0,0,0,0,0,4,0,0,8,0,0,0
84,13,0,0,16,0,0,0,0,0,0,0,5,0,0,0,0
85,0,20,0,0,0,0,30,0,0,0,0,0,0,10,0,0
86,0,0,14,0,17,0,0,0,0,0,0,0,0,0,0,26
87,0,0,21,0,0,0,0,0,0,0,9,0,0,0,0,33
88,0,5,0,0,0,31,0,0,0,0,0,0,0,14,0,0
89,0,0,21,0,10,0,0,0,0,0,0,0,0,0,0,8
90,0,13,0,0,0,0,18,0,0,0,0,23,0,0,0,0
91,33,0,0,0,0,27,0,0,0,0,0,0,25,0,0,0
92,0,30,0,0,0,7,0,0,0,0,0,0,1,0,0,0
93,0,0,2,0,0,0,20,0,0,0,0,0,4,0,0,0
94,26,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0
95,15,0,0,0,0,0,0,0,0,24,0,0,0,12,0,0
96,17,0,0,0,29,0,0,0,0,0,0,0,0,0,0,28
97,0,0,22,0,0,0,0,0,0,0,16,0,0,0,11,0
98,19,0,0,0,0,32,0,0,0,0,0,9,0,0,0,0
99,23,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0
100,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,29
101,0,14,0,0,0,0,10,0,0,0,0,0,0,0,9,0
102,0,24,0,0,0,30,0,0,0,0,0,0,22,0,0,0
103,6,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0
104,0,0,25,0,0,0,0,0,0,0,13,0,0,19,0,0
105,0,7,0,0,0,0,0,0,0,21,0,0,0,16,0,0
106,18,0,0,0,0,0,0,26,0,0,0,0,0,0,28,0
107,0,15,0,0,31,0,0,0,0,0,0,8,0,0,0,0
108,33,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0
109,0,32,0,0,0,0,27,0,0,0,0,0,0,0,0,20
110,24,0,0,0,0,0,0,0,32,0,0,0,22,0,0,0
111,0,0,2,0,0,0,0,0,18,0,0,0,0,17,0,0
112,0,0,12,0,27,0,0,0,0,0,0,0,0,0,23,0
113,0,31,0,0,0,0,0,26,0,0,0,0,15,0,0,0
114,0,1,0,0,0,0,0,0,0,0,3,7,0,0,0,0
115,0,9,0,0,0,0,0,0,30,0,0,0,0,16,0,0
116,0,14,0,0,0,0,0,0,0,20,0,0,0,21,0,0
117,0,33,0,0,0,0,0,0,0,0,10,0,0,0,0,4
118,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,13
119,28,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0
120,0,0,8,0,0,0,0,0,0,0,29,0,25,0,0,0
121,0,8,0,12,0,0,0,0,0,0,0,0,0,14,0,0
122,0,0,17,0,0,0,0,0,0,15,0,0,10,0,0,0
123,0,31,0,0,0,0,6,0,0,0,0,0,0,25,0,0
124,0,16,0,4,0,0,0,0,0,0,0,11,0,0,0,0
125,0,19,0,18,0,0,0,0,0,0,0,0,0,0,0,7
126,0,30,0,0,0,0,0,3,0,0,0,0,0,0,0,33
127,0,0,27,28,0,0,0,0,0,0,0,0,0,0,21,0
128,0,24,0,0,0,0,13,0,0,0,0,0,20,0,0,0
129,0,0,5,0,26,0,0,0,0,0,0,0,0,0,23,0
130,9,0,0,0,0,0,0,0,2,0,0,0,0,32,0,0
131,22,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0
132,0,0,14,0,18,0,0,0,0,0,0,21,0,0,0,0
133,0,0,33,0,0,0,0,29,0,0,0,0,0,5,0,0
