,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,1
1,0,0,23,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0
2,9,0,0,0,0,0,0,0,0,20,0,14,0,0,0,0,0,0,0,0,0
3,0,13,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,22,0,0,0,0
5,0,0,6,0,11,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
6,0,0,4,0,0,3,0,0,0,0,0,0,0,0,7,0,0,19,0,15,0
7,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,14
8,0,0,9,8,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
9,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0
10,0,20,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
11,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0
12,0,0,5,0,0,0,0,0,0,0,12,0,0,18,0,0,0,0,0,0,0
13,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,6,0,22,0,0,17
14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,15,0,0,19
15,0,12,0,0,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0
16,0,22,0,0,0,0,16,0,0,0,0,0,11,0,0,0,0,0,0,0,0
17,0,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,13,0,0
19,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
20,0,9,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,21,0,8,0
21,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,23,0,0,0,22
22,6,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0
23,0,11,0,0,0,0,0,17,0,0,0,0,0,0,0,15,0,0,0,0,0
24,0,12,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
25,0,20,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
26,0,0,1,0,0,0,0,0,0,0,10,0,0,0,9,0,0,0,0,0,0
27,0,0,14,0,0,0,0,19,0,0,0,0,0,0,0,7,0,0,21,0,3
28,0,15,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,13,0,0,1
29,0,21,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
30,0,10,0,0,0,0,0,0,0,0,12,0,0,0,0,17,0,0,0,0,0
31,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,16,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
33,0,14,0,0,0,0,0,9,0,0,0,0,0,0,0,18,0,0,0,0,0
34,0,5,0,0,0,0,20,0,0,0,0,0,0,7,0,0,3,0,0,0,2
35,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,19,0
36,11,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0
37,10,0,0,0,0,23,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
38,0,17,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,21,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
40,0,0,2,0,7,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
41,0,18,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,13,0,0,20
42,0,0,8,0,0,0,0,0,0,0,0,0,18,0,0,0,19,0,0,21,0
43,0,4,0,0,0,0,0,10,0,0,0,0,0,0,17,0,0,0,0,0,0
44,0,15,0,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0
45,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
46,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
47,0,0,16,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0
48,0,0,23,0,0,0,0,0,9,0,0,0,0,0,0,12,20,0,0,14,0
49,0,22,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,19,0,0,2
50,0,0,15,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0
51,0,7,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0
52,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
